Column1;PosicionCancion;NombreCancion;CantanteCancion;SemanaenLista
1;1;Tusa;Karol G. y Nicki Minaj;60
2;2;Se iluminaba feat. Ana Mena;Fred De Palma;60
3;3;Blinding Lights;The Weeknd;54
4;4;HAWÁI;Maluma;22
5;5;Dance Monkey;Tones and I;68
6;6;LA JEEPETA (REMIX);NIO GARCIA / ANUEL AA / MYKE TOWERS / NIO GARCIA / BRRAY /;36
7;7;PORFA;FEID / JUSTIN QUILES;39
8;8;Caramelo;OZUNA;29
9;9;LA CURIOSIDAD;JAY WHEELER / DJ NELSON / MYKE TOWERS;29
10;10;Tattoo Remix;Rauw Alejandro & Camilo;25
11;11;DAKITI;BAD BUNNY / JHAY CORTEZ;9
12;12;MIL TEQUILAS;CHEMA RIVAS;35
13;13;Morado;J. Balvin;30
14;14;SAFAERA;BAD BUNNY / JOWELL / RANDY / ÑENGO FLOW;28
15;15;Favorito;Camilo;39
16;16;+;Aitana + Cali Y El Dandee;44
17;17;Tú Me Dejaste De Querer;C. Tangana feat. Niño de Elche, La Húngara;8
18;18;DJADJA;AYA NAKAMURA;46
19;19;EL MANUAL;ANUEL AA;29
20;20;Alocao;Omar Montes x Bad Gyal;44
21;21;TATTOO;RAUW ALEJANDRO;4
22;22;Rojo;J. Balvin;29
23;23;Me Gusta;Shakira & Anuel AA;34
24;24;Carita de Inocente (Remix);Prince Royce & Myke Towers;30
25;25;PAM (feat. Daddy Yankee, El Alfa);Justin Quiles;24
26;26;DIOSA;MYKE TOWERS;27
27;27;Amarillo;J. Balvin;27
28;28;RELACIÓN;SECH;28
29;29;Nunca Estoy;C. Tangana;36
30;30;MAMICHULA;TRUENO / NICKI NICOLE / BIZARRAP / TAIU / TATOOL;22
31;31;HASTA QUE DIOS DIGA;ANUEL AA / BAD BUNNY;26
32;32;4 besos;Lola Indigo, Rauw Alejandro, Lalo Ebratt;30
33;33;RELACIÓN (REMIX);SECH / DADDY YANKEE / J BALVIN / ROSALÍA / FARRUKO;17
34;34;Si Tú La Quieres;David Bisbal y Aitana;39
35;35;RITMO (Bad Boys For Life);The Black Eyed Peas X J Balvin;44
36;36;CHINA;ANUEL AA / DADDY YANKEE / KAROL G / J BALVIN / OZUNA;60
37;37;PRENDIO (REMIX);RVFV / OMAR MONTES / DAVILES DE NOVELDA;36
38;38;Don`t Start Now;Dua Lipa;51
39;39;YO PERREO SOLA;BAD BUNNY;28
40;40;Ay, DiOs Mío!;KAROL G;25
41;41;LA DIFÍCIL;BAD BUNNY;20
42;42;Si por mi fuera;BERET;39
43;43;DESPEINADA;OZUNA / CAMILO;17
44;44;A un paso de la luna;Ana Mena & Rocco Hunt;20
45;45;AYER ME LLAMÓ MI EX;KHEA / LENNY SANTOS;19
46;46;Indeciso;Reik, J Balvin, Lalo Ebratt;41
47;47;One Day;J. Balvin, Dua Lipa, Bad Bunny, Tainy;23
48;48;Blanco;J. Balvin;28
49;49;MAMI;PTAZETA / JUACKO;21
50;50;IGNORANTES;BAD BUNNY / SECH;17
51;51;La Nota;Manuel Turizo,Rauw Alejandro, Mike Towers;12
52;52;COMO SE SIENTE;JHAY CORTEZ;20
53;53;UNA MALA (REMIX);EL COMPLETO RD / CHIMBALA;29
54;54;Agua (Music From Sponge on the Run Movie);TAINY / J BALVIN;22
55;55;Muévelo;Nicky Jam & Daddy Yankee;26
56;56;EASY;JHAY CORTEZ;41
57;57;KEII;ANUEL AA;16
58;58;SUR Y NORTE;ÑENGO FLOW / ANUEL AA;20
59;59;HOLA (REMIX);DALEX / LENNY TAVÁREZ / CHENCHO CORLEONE / JUHN / DÍMELO;27
60;60;FABULOSO;SECH / JUSTIN QUILES;22
61;61;UNA LOCURA;OZUNA / J BALVIN / CHENCHO CORLEONE;17
62;62;VETE;BAD BUNNY;23
63;63;Roses (Imanbek Remix);SAINt JHN;32
64;64;Flamenkito;Lerica & Belinda;24
65;65;Demasiadas Mujeres;C. Tangana;12
66;66;Pa toda la vida (feat. Mozart La Para);DON PATRICIO;23
67;67;SUEÑO;BERET / PABLO ALBORÁN;50
68;68;Vida De Rico;Camilo;14
69;69;TKN;ROSALÍA & Travis Scott;18
70;70;FANTASIAS;RAUW ALEJANDRO / FARRUKO;38
71;71;CONTANDO LUNARES;DON PATRICIO / CRUZ CAFUNÉ;81
72;72;SOLDADITO DE HIERRO;Nil Moliner;62
73;73;COMO ESTRELLAS;LA YOUNG;22
74;74;Jerusalema (feat. Nomcebo Zikode);Master KG;18
75;75;Physical;Dua Lipa;41
76;76;Pegamos Tela;Lérica x Omar Montes x Abraham Mateo;27
77;77;Whine Up;Nicky Jam & Anuel AA;26
78;78;Yo x Ti, Tu x Mi;Rosalía, Ozuna;38
79;79;Hola Nena;Nyno Vargas feat. Omar Montes;22
80;80;Zorra;BAD GYAL;19
81;81;SIGUES CON EL;ARCANGEL / SECH / DIMELO FLOW;18
82;82;JANGUEO;ANUEL AA / TEGO CALDERON;18
83;83;SOLA & VACÍA;CASPER MAGICO / ANUEL AA;19
84;84;Qué Bonito Es Querer;Manuel Carrasco;47
85;85;Medusa;Jhay Cortez, Anuel AA, J. Balvin;16
86;86;Fuera De Mi Mente;Lérica & Juan Magán;23
87;87;El Mismo Aire;Camilo & Pablo Alborán;29
88;88;Indios y Vaqueros;Sinsinati;53
89;89;MI NIÑA;LOS LEGENDARIOS /  WISIN / MYKE TOWERS;14
90;90;Tabú;Pablo Alborán & Ava Max;24
91;91;LOCO;BEÉLE;21
92;92;MAMACITA;Black Eyed Peas X Ozuna X J. Rey Soul;26
93;93;Memories;Maroon 5;31
94;94;Elegí;Rauw Alejandro, Dalex, Lenny Tavarez, Dimelo Flow;22
95;95;Someone You Loved;Lewis Capaldi;58
96;96;A GÜIRO;RAFA PABÖN;13
97;97;bad guy (with Justin Bieber);Billie Eilish;59
98;98;PA' ROMPERLA;BAD BUNNY / DON OMAR;14
99;99;TBT;Sebastián Yatra, Rauw Alejandro, Manuel Turizo;27
100;100;Señorita;Shawn Mendes feat Camila Cabello;42
101;1;Butter;BTS;9
102;2;Good 4 U;Olivia Rodrigo;10
103;3;Levitating;Dua Lipa Featuring DaBaby;42
104;4;Stay;The Kid LAROI & Justin Bieber;2
105;5;Kiss Me More;Doja Cat Featuring SZA;15
106;6;Bad Habits;Ed Sheeran;4
107;7;Permission To Dance;BTS;2
108;8;Montero (Call Me By Your Name);Lil Nas X;17
109;9;Deja Vu;Olivia Rodrigo;16
110;10;Save Your Tears;The Weeknd & Ariana Grande;32
111;11;Peaches;Justin Bieber Featuring Daniel Caesar & Giveon;18
112;12;Leave The Door Open;Silk Sonic (Bruno Mars & Anderson .Paak);20
113;13;Rapstar;Polo G;15
114;14;Wild Side;Normani Featuring Cardi B;1
115;15;Fancy Like;Walker Hayes;5
116;16;Heartbreak Anniversary;Giveon;23
117;17;Blinding Lights;The Weeknd;85
118;18;Astronaut In The Ocean;Masked Wolf;23
119;19;You Right;Doja Cat & The Weeknd;4
120;20;Without You;The Kid LAROI;33
121;21;Forever After All;Luke Combs;39
122;22;Every Chance I Get;DJ Khaled Featuring Lil Baby & Lil Durk;12
123;23;Motley Crew;Post Malone;2
124;24;Leave Before You Love Me;Marshmello X Jonas Brothers;9
125;25;Thot Shit;Megan Thee Stallion;6
126;26;Lil Bit;Nelly & Florida Georgia Line;18
127;27;Single Saturday Night;Cole Swindell;12
128;28;Famous Friends;Chris Young + Kane Brown;17
129;29;Beautiful Mistakes;Maroon 5 Featuring Megan Thee Stallion;20
130;30;Whole Lotta Money;BIA Featuring Nicki Minaj;2
131;31;Ain't Shit;Doja Cat;4
132;32;Heat Waves;Glass Animals;27
133;33;Late At Night;Roddy Ricch;7
134;34;Glad You Exist;Dan + Shay;24
135;35;Beggin';Maneskin;4
136;36;Blame It On You;Jason Aldean;13
137;37;Drinkin' Beer. Talkin' God. Amen.;Chase Rice Featuring Florida Georgia Line;8
138;38;Telepatia;Kali Uchis;22
139;39;Traitor;Olivia Rodrigo;9
140;40;Best Friend;Saweetie Featuring Doja Cat;28
141;41;Mood;24kGoldn Featuring iann dior;50
142;42;My Ex's Best Friend;Machine Gun Kelly X blackbear;49
143;43;Drivers License;Olivia Rodrigo;28
144;44;Yonaguni;Bad Bunny;7
145;45;Todo de Ti;Rauw Alejandro;8
146;46;Need To Know;Doja Cat;6
147;47;Wants And Needs;Drake Featuring Lil Baby;20
148;48;Wockesha;Moneybagg Yo;13
149;49;Tell The Vision;Pop Smoke Featuring Kanye West & Pusha T;1
150;50;Holy Smokes;Trippie Redd Featuring Lil Uzi Vert;1
151;51;Things A Man Oughta Know;Lainey Wilson;10
152;52;pov;Ariana Grande;20
153;53;Settling Down;Miranda Lambert;19
154;54;Bout A Million;Pop Smoke Featuring 21 Savage & 42 Dugg;1
155;55;One Too Many;Keith Urban Duet With P!nk;32
156;56;Ball If I Want To;DaBaby;5
157;57;Arcade;Duncan Laurence;15
158;58;Chasing After You;Ryan Hurd With Maren Morris;12
159;59;Drunk (And I Don't Wanna Go Home);Elle King & Miranda Lambert;13
160;60;You;Regard x Troye Sivan x Tate McRae;6
161;61;Waves;Luke Bryan;5
162;62;Way Less Sad;AJR;13
163;63;Gone;Dierks Bentley;19
164;64;Woo Baby;Pop Smoke Featuring Chris Brown;1
165;65;We Didn't Have Much;Justin Moore;5
166;66;Country Again;Thomas Rhett;12
167;67;Essence;Wizkid Featuring Tems;3
168;68;Favorite Crime;Olivia Rodrigo;9
169;69;my.life;J. Cole, 21 Savage & Morray;10
170;70;Memory;Kane Brown X blackbear;2
171;71;Mr. Jones;Pop Smoke Featuring Future;1
172;72;Straightenin;Migos;10
173;73;AM;Nio Garcia X J Balvin X Bad Bunny;4
174;74;Ski;Young Thug & Gunna;14
175;75;NDA;Billie Eilish;2
176;76;Happier;Olivia Rodrigo;9
177;77;Tombstone;Rod Wave;17
178;78;A-O-K;Tai Verdes;3
179;79;Red Light Green Light;DaBaby;4
180;80;More Time;Pop Smoke;1
181;81;Hats Off;Lil Baby, Lil Durk & Travis Scott;7
182;82;Manslaughter;Pop Smoke Featuring Rick Ross & The-Dream;1
183;83;Minimum Wage;Blake Shelton;11
184;84;Come Through;H.E.R. Featuring Chris Brown;7
185;85;Fiel;Los Legendarios, Wisin & Jhay Cortez;6
186;86;Demeanor;Pop Smoke Featuring Dua Lipa;1
187;87;2055;Sleepy Hallow;1
188;88;Brutal;Olivia Rodrigo;9
189;89;Love Again;Dua Lipa;1
190;90;I Was On A Boat That Day;Old Dominion;3
191;91;WUSYANAME;Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign;4
192;92;transparentsoul;Willow Featuring Travis Barker;6
193;93;Am I The Only One;Aaron Lewis;2
194;94;Twerkulator;City Girls;7
195;95;My Boy;Elvie Shane;4
196;96;Build A Bitch;Bella Poarch;10
197;97;30;Pop Smoke Featuring Bizzy Banks;1
198;98;You Should Probably Leave;Chris Stapleton;3
199;99;Jealousy, Jealousy;Olivia Rodrigo;9
200;100;Cold Beer Calling My Name;Jameson Rodgers Featuring Luke Combs;3
